id,file,effectTime,aoeTime,objectType,color,x,y,radius,damage,hangTime,effectIndex,aoeIndex
log1,aoelog 3.txt,1624737992.8767204,1624737994.5914025,24860,-65536,59.711254,21.340664,7.0,125,1.7146821022033691,35,7
log1,aoelog 3.txt,1624737997.2813838,1624737998.77396,24860,-65536,72.134346,12.95607,7.0,125,1.4925763607025146,36,9
log1,aoelog 3.txt,1624737997.2813838,1624737998.77396,24860,-65536,69.842224,12.752567,7.0,125,1.4925763607025146,37,7
log1,aoelog 3.txt,1624737997.2813838,1624737998.77396,24860,-65536,69.842224,12.752567,7.0,125,1.4925763607025146,38,7
log1,aoelog 3.txt,1624738014.1431966,1624738015.625741,24860,-65536,66.483582,11.50257,7.0,125,1.4825444221496582,45,7
log1,aoelog 3.txt,1624738014.1441941,1624738015.6347613,24860,-65536,66.483582,11.50257,7.0,125,1.4905672073364258,46,7
log1,aoelog 3.txt,1624738015.9459257,1624738017.4270523,8933,-65536,72.447426,7.753816,2.0,100,1.4811265468597412,47,7
log1,aoelog 3.txt,1624738032.193513,1624738033.6729062,24860,-65536,42.5,14.99,7.0,125,1.4793932437896729,50,8
log1,aoelog 3.txt,1624738032.2004936,1624738033.671867,24860,-65536,57.871185,30.221001,7.0,125,1.4713733196258545,51,7
log1,aoelog 3.txt,1624738033.4025865,1624738034.886109,24860,-65536,58.1688,30.221001,7.0,125,1.483522653579712,53,7
log1,aoelog 3.txt,1624738034.6000826,1624738036.0813653,24860,-65536,53.5,9.777886,7.0,125,1.4812827110290527,54,7
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1276.042847,256.888153,2.5,0,0.20953035354614258,74,13
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1276.042847,256.888153,2.5,75,0.20953035354614258,75,13
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1270.386108,256.888153,2.5,0,0.20953035354614258,76,11
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1270.386108,256.888153,2.5,75,0.20953035354614258,77,11
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1270.386108,251.231308,2.5,0,0.20953035354614258,78,9
log1,aoelog 3.txt,1624738236.4925199,1624738236.7020502,30145,255,1270.386108,251.231308,2.5,75,0.20953035354614258,79,9
log1,aoelog 3.txt,1624738236.4925199,1624738236.7010531,30145,255,1276.042847,251.231308,2.5,0,0.20853328704833984,80,7
log1,aoelog 3.txt,1624738236.4925199,1624738236.7010531,30145,255,1276.042847,251.231308,2.5,75,0.20853328704833984,81,7
log1,aoelog 3.txt,1624738237.6971228,1624738237.9077697,30145,255,1276.042847,256.888153,2.5,0,0.2106468677520752,82,13
log1,aoelog 3.txt,1624738237.6971228,1624738237.9077697,30145,255,1276.042847,256.888153,2.5,75,0.2106468677520752,83,13
log1,aoelog 3.txt,1624738237.6971228,1624738237.9077697,30145,255,1270.386108,256.888153,2.5,0,0.2106468677520752,84,11
log1,aoelog 3.txt,1624738237.6971228,1624738237.9077697,30145,255,1270.386108,256.888153,2.5,75,0.2106468677520752,85,11
log1,aoelog 3.txt,1624738237.6971228,1624738237.9068084,30145,255,1270.386108,251.231308,2.5,0,0.2096855640411377,86,9
log1,aoelog 3.txt,1624738237.6971228,1624738237.9068084,30145,255,1270.386108,251.231308,2.5,75,0.2096855640411377,87,9
log1,aoelog 3.txt,1624738237.6971228,1624738237.9068084,30145,255,1276.042847,251.231308,2.5,0,0.2096855640411377,88,7
log1,aoelog 3.txt,1624738237.6971228,1624738237.9068084,30145,255,1276.042847,251.231308,2.5,75,0.2096855640411377,89,7
log1,aoelog 3.txt,1624738238.8971353,1624738239.1145868,30145,255,1276.042847,256.888153,2.5,0,0.2174515724182129,90,13
